,site,name,domainId,domain,latitude,longitude,timezone,interval,sens,installationDate,counter,type,visible,tags
0,100005020,Manhattan Bridge 2012 Test Bike Counter,860,New York City DOT,40.69981,-73.98589,(UTC-05:00) US/Eastern;DST,15,5,2012-07-26T00:15:00-0400,,real,True,[]
1,100009424,2nd Avenue - 26th St S,860,New York City DOT,40.73971,-73.97954,(UTC-05:00) US/Eastern;DST,15,5,2013-07-29T04:30:00-0400,,real,True,"[{'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6533, 'name': '1. Evolution >50%', 'description': '', 'color': '#24b7d2', 'domainId': 4746, 'username': 'index2018'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
2,100009425,Prospect Park West,860,New York City DOT,40.671288458102666,-73.97138165085187,(UTC-05:00) US/Eastern;DST,15,5,2016-11-07T00:00:00-0500,Y2H13094304,real,True,"[{'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
3,100009426,Manhattan Bridge Ped Path,860,New York City DOT,40.714573,-73.99495,(UTC-05:00) US/Eastern;DST,15,5,2013-12-04T00:00:00-0500,Y2H13074107,real,True,"[{'id': 4045, 'name': 'Analyse 2014', 'description': '', 'color': '#0000cc', 'domainId': 4746, 'username': 'BigData'}, {'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
4,100009427,Williamsburg Bridge Bike Path,860,New York City DOT,40.71053,-73.96145,(UTC-05:00) US/Eastern;DST,15,5,2013-12-03T00:00:00-0500,Y2H13074108,real,True,"[{'id': 4045, 'name': 'Analyse 2014', 'description': '', 'color': '#0000cc', 'domainId': 4746, 'username': 'BigData'}, {'id': 4104, 'name': '1. >90% Compteurs Validés (296)', 'description': '', 'color': '#24b7d2', 'domainId': 4746, 'username': 'BigData'}, {'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
5,100009428,Ed Koch Queensboro Bridge Shared Path,860,New York City DOT,40.751038,-73.94082,(UTC-05:00) US/Eastern;DST,15,5,2013-12-04T00:00:00-0500,Y2H19111445,real,True,"[{'id': 4045, 'name': 'Analyse 2014', 'description': '', 'color': '#0000cc', 'domainId': 4746, 'username': 'BigData'}, {'id': 4104, 'name': '1. >90% Compteurs Validés (296)', 'description': '', 'color': '#24b7d2', 'domainId': 4746, 'username': 'BigData'}, {'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
6,100009429,Manhattan Bridge 2013 to 2018 Bike Counter,860,New York City DOT,40.699768,-73.98582,(UTC-05:00) US/Eastern;DST,15,5,2012-08-31T00:00:00-0400,,real,True,"[{'id': 4045, 'name': 'Analyse 2014', 'description': '', 'color': '#0000cc', 'domainId': 4746, 'username': 'BigData'}, {'id': 4104, 'name': '1. >90% Compteurs Validés (296)', 'description': '', 'color': '#24b7d2', 'domainId': 4746, 'username': 'BigData'}, {'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
7,100010017,Staten Island Ferry,860,New York City DOT,40.643387,-74.072075,(UTC-05:00) US/Eastern;DST,15,5,2016-03-31T00:00:00-0400,Y2H13094300,real,True,"[{'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
8,100010018,Pulaski Bridge,860,New York City DOT,40.742563,-73.9514924,(UTC-05:00) US/Eastern;DST,15,5,2017-06-24T00:00:00-0400,Y2H13094301,real,True,"[{'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
9,100010019,Kent Ave btw North 8th St and North 9th St,860,New York City DOT,40.720959193834354,-73.9609303061573,(UTC-05:00) US/Eastern;DST,15,5,2016-11-22T00:00:00-0500,Y2H13094302,real,True,"[{'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
10,100010020,1st Avenue - 26th St N - Interference testing,860,New York City DOT,40.73883,-73.977165,(UTC-05:00) US/Eastern;DST,15,5,2018-04-13T00:00:00-0400,Y2H18044984,real,True,"[{'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
11,100010022,Brooklyn Bridge Bike Path,860,New York City DOT,40.709274,-74.00099,(UTC-05:00) US/Eastern;DST,15,5,2013-12-19T00:00:00-0500,Y2H13074106,real,True,"[{'id': 5388, 'name': 'NYC DOT', 'description': '', 'color': '#a200ca', 'domainId': 4762, 'username': 'David'}, {'id': 6749, 'name': 'New York City DOT', 'description': '', 'color': '#000000', 'domainId': 4746, 'username': 'index2018'}]"
12,100039064,Forsyth Plaza,860,New York City DOT,40.71562304644138,-73.99474407997337,(UTC-05:00) US/Eastern;DST,15,5,2018-01-23T00:00:00-0500,,real,True,[]
13,100047029,Manhattan Bridge Display Bike Counter,860,New York City DOT,40.7156,-73.99475,(UTC-05:00) US/Eastern;DST,15,5,2018-06-01T00:00:00-0400,Y2H17062567,real,True,[]
14,100048744,Manhattan Bridge Interference Calibration 2018 Bike Counter,860,New York City DOT,0.0,0.0,(UTC-05:00) US/Eastern;DST,15,5,2013-07-25T00:00:00-0400,Y2H13074109,real,True,[]
15,100051865,Manhattan Bridge 2012 to 2019 Bike Counter,860,New York City DOT,40.69981,-73.98589,(UTC-05:00) US/Eastern;DST,15,5,2012-08-31T00:00:00-0400,,real,True,[]
16,100055175,Manhattan Bridge Interference Calibration 2019 Bike Counter,860,New York City DOT,0.0,0.0,(UTC-05:00) US/Eastern;DST,15,5,2013-07-25T00:00:00-0400,Y2H13074105,real,True,[]
17,100057316,8th Ave at 50th St.,860,New York City DOT,40.76234843823216,-73.98612032425785,(UTC-05:00) US/Eastern;DST,15,5,2018-06-14T00:00:00-0400,Y2H18055363,real,True,[]
18,100057318,Broadway at 50th St,860,New York City DOT,40.76138,-73.98408,(UTC-05:00) US/Eastern;DST,15,5,2019-06-14T00:00:00-0400,Y2H18055362,real,True,[]
19,100057319,Amsterdam Ave at 86th St.,860,New York City DOT,40.787745,-73.975021,(UTC-05:00) US/Eastern;DST,15,5,2019-10-24T00:00:00-0400,Y2H18055357,real,True,[]
20,100057320,Columbus Ave at 86th St.,860,New York City DOT,40.787745,-73.975021,(UTC-05:00) US/Eastern;DST,15,5,2019-10-24T00:00:00-0400,Y2H18055356,real,True,[]
21,100058279,Kent Ave btw South 6th St. and Broadway,860,New York City DOT,40.711282432675226,-73.96838606913825,(UTC-05:00) US/Eastern;DST,15,5,2014-08-14T00:00:00-0400,,real,True,[]
22,100062893,Manhattan Bridge Bike Comprehensive,860,New York City DOT,40.7156,-73.99475,(UTC-05:00) US/Eastern;DST,15,5,2018-06-01T00:00:00-0400,Y2H17062567,virtual,True,[]
