Corridor,street,From,To,Borough,Project_Miles_Total,Sharrows,1-Way Conventional,2-Way Conventional,1-Way PBL,2-Way PBL,2-Way Path
Starlight Connectors,EAST 180 STREET,Boston Rd,Bronx Park Ave,X,0.19,,0.19,,,,
Starlight Connectors,EAST 180 STREET,Bronx Park Ave,Morris Park Ave,X,0.10,,0.1,,,,
Starlight Connectors,EAST 182 STREET,Southern Blvd,Boston Rd,X,0.03,,0.03,,,,
Starlight Connectors,WYATT STREET,Devoe Ave,Morris Park Ave,X,0.16,,0.16,,,,
Tribeca Network,BARCLAY STREET,Broadway,Greenwich St,M,0.23,,,,0.23,,
Tribeca Network,MURRAY STREET,West St,Broadway,M,0.35,,,,0.35,,
Tribeca Network,PARK PLACE,Greenwich St,Broadway,M,0.24,,,,0.24,,
Uptown Crosstown Network,EAST 59 STREET,1 Ave,2nd Ave,M,0.15,,,,0.15,,
Uptown Crosstown Network,EAST 61 STREET,5 Ave,York Ave,M,0.81,,,,0.81,,
Uptown Crosstown Network,EAST 62 STREET,5 Ave,York Ave,M,0.80,,,,0.8,,
"Willets Point, Queensboro Hill & Kissena Park Network",160 STREET,Oak,Sanford Ave,Q,0.73,,0.73,,,,
"Willets Point, Queensboro Hill & Kissena Park Network",161 STREET,Oak,Sanford Ave,Q,0.72,,0.72,,,,
"Willets Point, Queensboro Hill & Kissena Park Network",164 STREET,Oak Ave,Pidgeon Meadow Rd,Q,0.12,,0.12,,,,
"Willets Point, Queensboro Hill & Kissena Park Network",46 AVENUE,160 St,163 St,Q,0.15,,0.15,,,,
"Willets Point, Queensboro Hill & Kissena Park Network",59 AVENUE,Rodman St,164 St,Q,1.68,,1.68,,,,
"Willets Point, Queensboro Hill & Kissena Park Network",60 AVENUE,Rodman St,Kissena Blvd,Q,1.15,,1.15,,,,
"Willets Point, Queensboro Hill & Kissena Park Network",OAK AVENUE,160 St,164 St,Q,0.23,,0.23,,,,
"Willets Point, Queensboro Hill & Kissena Park Network",PIDGEON MEADOW ROAD,Pidgeon Meadow Rd,46 Av,Q,0.23,,0.23,,,,
Woodside Major Corridors,27 STREET,49 Ave,Borden Ave,Q,0.14,,0.14,,,,
Woodside Major Corridors,49 AVENUE,Skillman Ave,27 St,Q,0.23,,0.23,,,,
Woodside Major Corridors,51 AVENUE,69 St,56 Rd,Q,0.03,,0.03,,,,
Woodside Major Corridors,51 AVENUE,Broadway,69 St,Q,1.00,,1,,,,
Woodside Major Corridors,56 ROAD,56 Dr,Laurel Hill Blvd,Q,0.80,,0.8,,,,
Woodside Major Corridors,58 STREET,Maurice Ave,Queens Blvd,Q,1.54,,1.54,,,,
Woodside Major Corridors,BORDEN AVENUE,27 St,Starr Ave,Q,0.25,,0.25,,,,
Woodside Major Corridors,BORDEN AVENUE BRIDGE,27 St,Starr Ave,Q,0.01,,0.01,,,,
Woodside Major Corridors,GRAND AVENUE,47 St,Rust St,Q,0.56,,0.56,,,,
Woodside Major Corridors,LAUREL HILL BOULEVARD,Review Ave,56 Dr,Q,0.14,,0.14,,,,
Woodside Major Corridors,MAURICE AVENUE,69 St,56 Rd,Q,0.91,,0.91,,,,
Woodside Major Corridors,REVIEW AVENUE,56 Rd,Greenpoint Ave,Q,0.52,,0.52,,,,
Woodside Major Corridors,REVIEW AVENUE,Greenpoint Ave,Borden Ave,Q,0.34,,0.34,,,,
Woodside Major Corridors,RUST STREET,Grand Ave,56 Dr,Q,0.39,,0.39,,,,
Woodside Major Corridors,STARR AVENUE,Borden Ave,Van Dam St,Q,0.17,,0.17,,,,
