,counts,date,status,site
105,2337.0,2014-04-03T00:00:00+0000,0.0,100010022
106,663.0,2014-04-04T00:00:00+0000,0.0,100010022
107,1620.0,2014-04-05T00:00:00+0000,0.0,100010022
108,2119.0,2014-04-06T00:00:00+0000,0.0,100010022
109,1234.0,2014-04-07T00:00:00+0000,0.0,100010022
110,1585.0,2014-04-08T00:00:00+0000,0.0,100010022
111,2901.0,2014-04-09T00:00:00+0000,0.0,100010022
112,2788.0,2014-04-10T00:00:00+0000,0.0,100010022
113,1927.0,2014-04-11T00:00:00+0000,0.0,100010022
114,2883.0,2014-04-12T00:00:00+0000,0.0,100010022
115,2882.0,2014-04-13T00:00:00+0000,0.0,100010022
116,3327.0,2014-04-14T00:00:00+0000,0.0,100010022
117,546.0,2014-04-15T00:00:00+0000,0.0,100010022
118,1495.0,2014-04-16T00:00:00+0000,0.0,100010022
119,1875.0,2014-04-17T00:00:00+0000,0.0,100010022
120,1442.0,2014-04-18T00:00:00+0000,0.0,100010022
121,2726.0,2014-04-19T00:00:00+0000,0.0,100010022
122,2011.0,2014-04-20T00:00:00+0000,0.0,100010022
123,3012.0,2014-04-21T00:00:00+0000,0.0,100010022
124,2479.0,2014-04-22T00:00:00+0000,0.0,100010022
125,2559.0,2014-04-23T00:00:00+0000,0.0,100010022
126,2559.0,2014-04-24T00:00:00+0000,0.0,100010022
127,2585.0,2014-04-25T00:00:00+0000,0.0,100010022
128,1900.0,2014-04-26T00:00:00+0000,0.0,100010022
129,2563.0,2014-04-27T00:00:00+0000,0.0,100010022
130,3590.0,2014-04-28T00:00:00+0000,0.0,100010022
131,1258.0,2014-04-29T00:00:00+0000,0.0,100010022
132,224.0,2014-04-30T00:00:00+0000,0.0,100010022
133,1927.0,2014-05-01T00:00:00+0000,0.0,100010022
134,3646.0,2014-05-02T00:00:00+0000,0.0,100010022
135,3171.0,2014-05-03T00:00:00+0000,0.0,100010022
136,4777.0,2014-05-04T00:00:00+0000,0.0,100010022
137,3434.0,2014-05-05T00:00:00+0000,0.0,100010022
138,3733.0,2014-05-06T00:00:00+0000,0.0,100010022
139,3615.0,2014-05-07T00:00:00+0000,0.0,100010022
140,963.0,2014-05-08T00:00:00+0000,0.0,100010022
141,1585.0,2014-05-09T00:00:00+0000,0.0,100010022
142,1609.0,2014-05-10T00:00:00+0000,0.0,100010022
143,3414.0,2014-05-11T00:00:00+0000,0.0,100010022
144,3771.0,2014-05-12T00:00:00+0000,0.0,100010022
145,3540.0,2014-05-13T00:00:00+0000,0.0,100010022
146,3056.0,2014-05-14T00:00:00+0000,0.0,100010022
147,2212.0,2014-05-15T00:00:00+0000,0.0,100010022
148,1030.0,2014-05-16T00:00:00+0000,0.0,100010022
149,3175.0,2014-05-17T00:00:00+0000,0.0,100010022
150,3053.0,2014-05-18T00:00:00+0000,0.0,100010022
151,3610.0,2014-05-19T00:00:00+0000,0.0,100010022
152,4220.0,2014-05-20T00:00:00+0000,0.0,100010022
153,3052.0,2014-05-21T00:00:00+0000,0.0,100010022
154,1507.0,2014-05-22T00:00:00+0000,0.0,100010022
155,1858.0,2014-05-23T00:00:00+0000,0.0,100010022
