date,name,total,fillColor,wday
2017-03-26T00:00:00Z,1st Avenue - 26th St N,1093,Weekend,1
2017-03-27T00:00:00Z,1st Avenue - 26th St N,1200,Weekday,2
2017-03-28T00:00:00Z,1st Avenue - 26th St N,1270,Weekday,3
2017-03-29T00:00:00Z,1st Avenue - 26th St N,2068,Weekday,4
2017-03-30T00:00:00Z,1st Avenue - 26th St N,1850,Weekday,5
2017-03-31T00:00:00Z,1st Avenue - 26th St N,801,Weekday,6
2017-04-01T00:00:00Z,1st Avenue - 26th St N,1110,Weekend,7
2017-04-02T00:00:00Z,1st Avenue - 26th St N,1706,Weekend,1
2017-04-03T00:00:00Z,1st Avenue - 26th St N,2142,Weekday,2
2017-04-04T00:00:00Z,1st Avenue - 26th St N,1394,Weekday,3
2017-04-05T00:00:00Z,1st Avenue - 26th St N,2589,Weekday,4
2017-04-06T00:00:00Z,1st Avenue - 26th St N,1067,Weekday,5
2017-04-07T00:00:00Z,1st Avenue - 26th St N,1802,Weekday,6
2017-04-08T00:00:00Z,1st Avenue - 26th St N,1746,Weekend,7
2017-04-09T00:00:00Z,1st Avenue - 26th St N,1915,Weekend,1
2017-04-10T00:00:00Z,1st Avenue - 26th St N,2717,Weekday,2
2017-04-11T00:00:00Z,1st Avenue - 26th St N,4532,Weekday,3
2017-04-12T00:00:00Z,1st Avenue - 26th St N,2914,Weekday,4
2017-04-13T00:00:00Z,1st Avenue - 26th St N,2959,Weekday,5
2017-04-14T00:00:00Z,1st Avenue - 26th St N,2562,Weekday,6
2017-04-15T00:00:00Z,1st Avenue - 26th St N,1989,Weekend,7
2017-04-16T00:00:00Z,1st Avenue - 26th St N,1913,Weekend,1
2017-04-17T00:00:00Z,1st Avenue - 26th St N,3341,Weekday,2
2017-04-18T00:00:00Z,1st Avenue - 26th St N,3931,Weekday,3
2017-04-19T00:00:00Z,1st Avenue - 26th St N,2556,Weekday,4
2017-04-20T00:00:00Z,1st Avenue - 26th St N,2299,Weekday,5
2017-04-21T00:00:00Z,1st Avenue - 26th St N,2107,Weekday,6
2017-04-22T00:00:00Z,1st Avenue - 26th St N,1566,Weekend,7
2017-04-23T00:00:00Z,1st Avenue - 26th St N,2005,Weekend,1
2017-04-24T00:00:00Z,1st Avenue - 26th St N,2678,Weekday,2
2017-04-25T00:00:00Z,1st Avenue - 26th St N,1333,Weekday,3
2017-04-26T00:00:00Z,1st Avenue - 26th St N,1776,Weekday,4
2017-04-27T00:00:00Z,1st Avenue - 26th St N,2639,Weekday,5
2017-04-28T00:00:00Z,1st Avenue - 26th St N,3834,Weekday,6
