date,name,total,fillColor,wday
2020-01-06T00:00:00Z,Manhattan Bridge Display Bike Counter,2869,Weekday,2
2020-01-06T00:00:00Z,Manhattan Bridge Ped Path,98,Weekday,2
2020-01-06T00:00:00Z,Prospect Park West,1589,Weekday,2
2020-01-06T00:00:00Z,Pulaski Bridge,1050,Weekday,2
2020-01-06T00:00:00Z,Staten Island Ferry,322,Weekday,2
2020-01-06T00:00:00Z,Williamsburg Bridge Bike Path,3245,Weekday,2
2020-01-07T00:00:00Z,8th Ave at 50th St.,3009,Weekday,3
2020-01-07T00:00:00Z,Amsterdam Ave at 86th St.,1225,Weekday,3
2020-01-07T00:00:00Z,Broadway at 50th St,0,Weekday,3
2020-01-07T00:00:00Z,Brooklyn Bridge Bike Path,1030,Weekday,3
2020-01-07T00:00:00Z,Columbus Ave at 86th St.,1000,Weekday,3
2020-01-07T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2769,Weekday,3
2020-01-07T00:00:00Z,Kent Avenue Bike Path,1441,Weekday,3
2020-01-07T00:00:00Z,Manhattan Bridge Display Bike Counter,2971,Weekday,3
2020-01-07T00:00:00Z,Manhattan Bridge Ped Path,94,Weekday,3
2020-01-07T00:00:00Z,Prospect Park West,1662,Weekday,3
2020-01-07T00:00:00Z,Pulaski Bridge,1151,Weekday,3
2020-01-07T00:00:00Z,Staten Island Ferry,309,Weekday,3
2020-01-07T00:00:00Z,Williamsburg Bridge Bike Path,3505,Weekday,3
2020-01-08T00:00:00Z,8th Ave at 50th St.,2803,Weekday,4
2020-01-08T00:00:00Z,Amsterdam Ave at 86th St.,1206,Weekday,4
2020-01-08T00:00:00Z,Broadway at 50th St,0,Weekday,4
2020-01-08T00:00:00Z,Brooklyn Bridge Bike Path,834,Weekday,4
2020-01-08T00:00:00Z,Columbus Ave at 86th St.,992,Weekday,4
2020-01-08T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2517,Weekday,4
2020-01-08T00:00:00Z,Kent Avenue Bike Path,1292,Weekday,4
2020-01-08T00:00:00Z,Manhattan Bridge Display Bike Counter,2699,Weekday,4
2020-01-08T00:00:00Z,Manhattan Bridge Ped Path,72,Weekday,4
2020-01-08T00:00:00Z,Prospect Park West,1657,Weekday,4
2020-01-08T00:00:00Z,Pulaski Bridge,1113,Weekday,4
2020-01-08T00:00:00Z,Staten Island Ferry,277,Weekday,4
2020-01-08T00:00:00Z,Williamsburg Bridge Bike Path,3083,Weekday,4
2020-01-09T00:00:00Z,8th Ave at 50th St.,2840,Weekday,5
2020-01-09T00:00:00Z,Amsterdam Ave at 86th St.,1183,Weekday,5
2020-01-09T00:00:00Z,Broadway at 50th St,0,Weekday,5
2020-01-09T00:00:00Z,Brooklyn Bridge Bike Path,776,Weekday,5
2020-01-09T00:00:00Z,Columbus Ave at 86th St.,1026,Weekday,5
2020-01-09T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2384,Weekday,5
2020-01-09T00:00:00Z,Kent Avenue Bike Path,1162,Weekday,5
2020-01-09T00:00:00Z,Manhattan Bridge Display Bike Counter,2371,Weekday,5
2020-01-09T00:00:00Z,Manhattan Bridge Ped Path,75,Weekday,5
2020-01-09T00:00:00Z,Prospect Park West,1537,Weekday,5
2020-01-09T00:00:00Z,Pulaski Bridge,992,Weekday,5
2020-01-09T00:00:00Z,Staten Island Ferry,284,Weekday,5
2020-01-09T00:00:00Z,Williamsburg Bridge Bike Path,2825,Weekday,5
2020-01-10T00:00:00Z,8th Ave at 50th St.,3263,Weekday,6
2020-01-10T00:00:00Z,Amsterdam Ave at 86th St.,1440,Weekday,6
2020-01-10T00:00:00Z,Broadway at 50th St,0,Weekday,6
2020-01-10T00:00:00Z,Brooklyn Bridge Bike Path,1041,Weekday,6
2020-01-10T00:00:00Z,Columbus Ave at 86th St.,1234,Weekday,6
2020-01-10T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,3059,Weekday,6
2020-01-10T00:00:00Z,Kent Avenue Bike Path,1677,Weekday,6
2020-01-10T00:00:00Z,Manhattan Bridge Display Bike Counter,3323,Weekday,6
2020-01-10T00:00:00Z,Manhattan Bridge Ped Path,112,Weekday,6
2020-01-10T00:00:00Z,Prospect Park West,1902,Weekday,6
2020-01-10T00:00:00Z,Pulaski Bridge,1327,Weekday,6
2020-01-10T00:00:00Z,Staten Island Ferry,335,Weekday,6
