,date,counts,status,site
106,2012-09-01T02:30:00+0000,3.0,0.0,100005020
107,2012-09-01T02:45:00+0000,5.0,0.0,100005020
108,2012-09-01T03:00:00+0000,2.0,0.0,100005020
109,2012-09-01T03:15:00+0000,7.0,0.0,100005020
110,2012-09-01T03:30:00+0000,7.0,0.0,100005020
111,2012-09-01T03:45:00+0000,3.0,0.0,100005020
112,2012-09-01T04:00:00+0000,6.0,0.0,100005020
113,2012-09-01T04:15:00+0000,4.0,0.0,100005020
114,2012-09-01T04:30:00+0000,4.0,0.0,100005020
115,2012-09-01T04:45:00+0000,5.0,0.0,100005020
116,2012-09-01T05:00:00+0000,3.0,0.0,100005020
117,2012-09-01T05:15:00+0000,11.0,0.0,100005020
118,2012-09-01T05:30:00+0000,7.0,0.0,100005020
119,2012-09-01T05:45:00+0000,2.0,0.0,100005020
120,2012-09-01T06:00:00+0000,8.0,0.0,100005020
121,2012-09-01T06:15:00+0000,9.0,0.0,100005020
122,2012-09-01T06:30:00+0000,5.0,0.0,100005020
123,2012-09-01T06:45:00+0000,13.0,0.0,100005020
124,2012-09-01T07:00:00+0000,8.0,0.0,100005020
125,2012-09-01T07:15:00+0000,9.0,0.0,100005020
126,2012-09-01T07:30:00+0000,14.0,0.0,100005020
127,2012-09-01T07:45:00+0000,17.0,0.0,100005020
128,2012-09-01T08:00:00+0000,20.0,0.0,100005020
129,2012-09-01T08:15:00+0000,25.0,0.0,100005020
130,2012-09-01T08:30:00+0000,28.0,0.0,100005020
131,2012-09-01T08:45:00+0000,26.0,0.0,100005020
132,2012-09-01T09:00:00+0000,29.0,0.0,100005020
133,2012-09-01T09:15:00+0000,35.0,0.0,100005020
134,2012-09-01T09:30:00+0000,30.0,0.0,100005020
135,2012-09-01T09:45:00+0000,41.0,0.0,100005020
136,2012-09-01T10:00:00+0000,33.0,0.0,100005020
137,2012-09-01T10:15:00+0000,40.0,0.0,100005020
138,2012-09-01T10:30:00+0000,44.0,0.0,100005020
139,2012-09-01T10:45:00+0000,38.0,0.0,100005020
140,2012-09-01T11:00:00+0000,47.0,0.0,100005020
141,2012-09-01T11:15:00+0000,63.0,0.0,100005020
142,2012-09-01T11:30:00+0000,67.0,0.0,100005020
143,2012-09-01T11:45:00+0000,87.0,0.0,100005020
144,2012-09-01T12:00:00+0000,33.0,0.0,100005020
145,2012-09-01T12:15:00+0000,49.0,0.0,100005020
146,2012-09-01T12:30:00+0000,60.0,0.0,100005020
147,2012-09-01T12:45:00+0000,34.0,0.0,100005020
148,2012-09-01T13:00:00+0000,66.0,0.0,100005020
149,2012-09-01T13:15:00+0000,51.0,0.0,100005020
150,2012-09-01T13:30:00+0000,49.0,0.0,100005020
151,2012-09-01T13:45:00+0000,55.0,0.0,100005020
152,2012-09-01T14:00:00+0000,50.0,0.0,100005020
153,2012-09-01T14:15:00+0000,41.0,0.0,100005020
154,2012-09-01T14:30:00+0000,70.0,0.0,100005020
155,2012-09-01T14:45:00+0000,49.0,0.0,100005020
156,2012-09-01T15:00:00+0000,55.0,0.0,100005020
157,2012-09-01T15:15:00+0000,77.0,0.0,100005020
158,2012-09-01T15:30:00+0000,48.0,0.0,100005020
159,2012-09-01T15:45:00+0000,49.0,0.0,100005020
160,2012-09-01T16:00:00+0000,48.0,0.0,100005020
161,2012-09-01T16:15:00+0000,49.0,0.0,100005020
162,2012-09-01T16:30:00+0000,49.0,0.0,100005020
163,2012-09-01T16:45:00+0000,52.0,0.0,100005020
164,2012-09-01T17:00:00+0000,41.0,0.0,100005020
165,2012-09-01T17:15:00+0000,67.0,0.0,100005020
166,2012-09-01T17:30:00+0000,45.0,0.0,100005020
167,2012-09-01T17:45:00+0000,69.0,0.0,100005020
168,2012-09-01T18:00:00+0000,63.0,0.0,100005020
169,2012-09-01T18:15:00+0000,58.0,0.0,100005020
170,2012-09-01T18:30:00+0000,47.0,0.0,100005020
171,2012-09-01T18:45:00+0000,60.0,0.0,100005020
172,2012-09-01T19:00:00+0000,49.0,0.0,100005020
173,2012-09-01T19:15:00+0000,50.0,0.0,100005020
174,2012-09-01T19:30:00+0000,46.0,0.0,100005020
175,2012-09-01T19:45:00+0000,40.0,0.0,100005020
176,2012-09-01T20:00:00+0000,43.0,0.0,100005020
177,2012-09-01T20:15:00+0000,42.0,0.0,100005020
178,2012-09-01T20:30:00+0000,26.0,0.0,100005020
179,2012-09-01T20:45:00+0000,32.0,0.0,100005020
180,2012-09-01T21:00:00+0000,23.0,0.0,100005020
181,2012-09-01T21:15:00+0000,25.0,0.0,100005020
182,2012-09-01T21:30:00+0000,21.0,0.0,100005020
